Date,Mkt,Growth,Mom,Quality,Size
2019,0.00010033,-0.005688108,-5.50E-05,0.001556939,0.001651949
2019,-0.006492429,-0.003749957,0.000008139,0.000745493,0.001549629
2019,-0.010409584,-0.004195565,4.44E-05,0.001361478,0.001157324
2019,2.85E-05,-0.005313013,4.22E-05,0.001124925,0.000923665
2019,0.008310198,-0.008180719,5.05E-05,0.002442589,0.001479859
2019,0.006851475,-0.007828529,5.03E-05,0.00276931,0.001555487
2019,0.018853526,-0.009080834,6.83E-05,0.002827938,0.001822587
2019,0.021539014,-0.007826465,6.94E-05,0.001971061,0.002299619
2019,0.023209159,-0.008892606,7.20E-05,0.002384902,0.002541908
2019,0.017457921,-0.009210884,7.48E-05,0.002543984,0.002647472
2019,0.02597124,-0.010169778,4.30E-05,0.002070964,0.002961263
2019,0.028896024,-0.01174443,2.45E-05,0.002063113,0.003218591
2019,0.028630827,-0.013500152,2.70E-06,0.00250827,0.003182018
2019,0.03479519,-0.012219034,2.23E-05,0.000847346,0.003110733
2019,0.035114388,-0.013308035,2.19E-05,0.000289249,0.003271023
2019,0.029785556,-0.013228816,0.000113265,0.001241263,0.003530519
2019,0.030434233,-0.014246383,0.000161454,0.001684655,0.00361201
2019,0.035808598,-0.015128624,0.000164078,0.00181197,0.004062747
2019,0.044676612,-0.016802348,-0.000117591,0.001633904,0.004252075
2019,0.041762187,-0.017366769,-0.000282897,0.001918401,0.004459634
2019,0.042918606,-0.017423244,-0.000137137,0.000587713,0.004154966
2019,0.047613177,-0.01973957,-3.99E-05,0.000751578,0.004053766
2019,0.056668697,-0.019473363,-0.000235503,0.000637985,0.004141601
2019,0.056883427,-0.018665887,-0.000354259,0.000584588,0.004426757
2019,0.055442398,-0.020766612,-0.000224804,0.00122963,0.004616413
2019,0.058028243,-0.02056161,-0.000412815,0.00106732,0.004591465
2019,0.055752925,-0.018737754,-0.000571889,-0.000156318,0.005081185
2019,0.051421814,-0.016994905,-0.000482094,-0.00042086,0.005074461
2019,0.047375422,-0.016445376,-0.000201589,-2.58E-05,0.005179682
2019,0.04706635,-0.016201394,-0.000497353,-0.000438062,0.004921548
2019,0.051701316,-0.016694109,-0.000582903,-0.000803761,0.005095481
2019,0.051505091,-0.01776916,-0.000907922,0.000125358,0.005412769
2019,0.0497256,-0.016564251,-0.000958334,0.000444788,0.005541005
2019,0.043851709,-0.015425472,-0.000514123,0.000707241,0.005364334
2019,0.048063371,-0.015865491,-0.000935614,0.001344978,0.005624491
2019,0.048229781,-0.016745345,-0.000892726,0.002072045,0.005560228
2019,0.056761906,-0.017145698,-0.00125838,0.002869962,0.00620207
2019,0.057955915,-0.017228499,-0.001345991,0.002582008,0.006548893
2019,0.063702077,-0.017451647,-0.001699722,0.002870288,0.006520977
2019,0.068724868,-0.018582479,-0.002455308,0.004331516,0.006387138
2019,0.067276898,-0.017866277,-0.002287091,0.003703362,0.006801144
2019,0.065253954,-0.017451758,-0.002165293,0.004429686,0.006294506
2019,0.059561103,-0.016492875,-0.002132823,0.004591341,0.005716422
2019,0.059988396,-0.017230365,-0.002488981,0.004209765,0.005958721
2019,0.061385211,-0.017638115,-0.002727479,0.003421408,0.006271113
2019,0.062452041,-0.017157251,-0.002990028,0.003325215,0.006080293
2019,0.063017828,-0.017678959,-0.003056134,0.003561244,0.00632442
2019,0.054933061,-0.017031147,-0.00279035,0.003694018,0.006271355
2019,0.045549801,-0.013895036,-0.002833189,0.002906018,0.006164967
2019,0.053330607,-0.013224567,-0.002819343,0.002445869,0.00588528
2019,0.060617312,-0.013669651,-0.002811218,0.002422471,0.0062539
2019,0.059955514,-0.013774684,-0.00282592,0.001984439,0.006019713
2019,0.058435263,-0.014005488,-0.002835234,0.002043597,0.005908041
2019,0.064807176,-0.014032191,-0.002835394,0.001599859,0.00581572
2019,0.073158605,-0.015025568,-0.002762072,0.00076801,0.005716563
2019,0.074360618,-0.015594316,-0.00275405,0.000663206,0.00572919
2019,0.072659993,-0.014555033,-0.002795316,0.000522485,0.005691476
2019,0.073533774,-0.014472484,-0.002756736,0.000380821,0.00581169
2019,0.066626959,-0.01415564,-0.002762033,0.000634961,0.005848905
2019,0.058443459,-0.013218185,-0.002942621,-0.000368841,0.005835917
2019,0.060336509,-0.011246448,-0.003071869,-0.001092288,0.005802174
2019,0.056089441,-0.011430527,-0.002921121,-0.00123465,0.005781621
2019,0.05725692,-0.009211797,-0.002952491,-0.002088783,0.005747353
2019,0.066251922,-0.008872768,-0.002874257,-0.002237806,0.005757578
2019,0.074572261,-0.010819065,-0.002790451,-0.002399574,0.005728223
2019,0.075306044,-0.010877287,-0.002790652,-0.002018038,0.005819065
2019,0.081433839,-0.013195215,-0.002707702,-0.000976248,0.005980596
2019,0.082088182,-0.012832529,-0.002692926,-0.00098534,0.005917724
2019,0.085134642,-0.013113969,-0.002680989,-0.001188121,0.00578571
2019,0.087451023,-0.013900359,-0.002679968,-0.001017003,0.005841316
2019,0.090852072,-0.012393656,-0.002616512,-0.001493017,0.005846268
2019,0.092850073,-0.011039174,-0.002600975,-0.001854977,0.005939286
2019,0.087006355,-0.019462382,-0.0026186,0.001721895,0.006610784
2019,0.088177991,-0.019298612,-0.002639117,0.001673649,0.006585893
2019,0.086266184,-0.019272087,-0.002610256,0.001852773,0.006602495
2019,0.091339312,-0.01934485,-0.002614522,0.001731953,0.006366494
2019,0.093381654,-0.019654757,-0.002702241,0.001805097,0.00655186
2019,0.09070952,-0.018316973,-0.002654532,0.001478544,0.006390583
2019,0.090718581,-0.016975396,-0.002693348,0.001263701,0.006339426
2019,0.088318669,-0.018254298,-0.002633011,0.00211179,0.006519923
2019,0.088873989,-0.016503028,-0.002575842,0.001939622,0.006289377
2019,0.085297791,-0.016183818,-0.002550371,0.001851045,0.00622821
2019,0.079938791,-0.015186371,-0.002474586,0.001789212,0.006212096
2019,0.080881261,-0.014354823,-0.002449795,0.001507081,0.006144304
2019,0.084283492,-0.015093743,-0.002477842,0.001360506,0.006019252
2019,0.08178907,-0.013513969,-0.002433155,0.001177767,0.006016925
2019,0.082672555,-0.015472665,-0.002449371,0.001559535,0.006219283
2019,0.081732876,-0.015117206,-0.002482266,0.001802234,0.006095304
2019,0.084465931,-0.015029964,-0.002504155,0.001621755,0.006115722
2019,0.070573168,-0.012665848,-0.002410928,0.000632326,0.006010256
2019,0.066814924,-0.011421953,-0.002352504,-8.56E-05,0.00595422
2019,0.062627356,-0.01053824,-0.002312376,4.77E-05,0.005818459
2019,0.046890729,-0.008170501,-0.002268467,-0.000495829,0.00560818
2019,0.050462836,-0.007617036,-0.002285089,-0.000972187,0.005530508
2019,0.038616301,-0.006989338,-0.002212686,-0.001064949,0.005427347
2019,0.037213629,-0.00586107,-0.002206207,-0.001576184,0.005197245
2019,0.038294205,-0.006290262,-0.002201298,-0.000783841,0.005271903
2019,0.034918499,-0.007188035,-0.002191745,-0.001519913,0.005023316
2019,0.024582854,-0.007041016,-0.002138952,-0.001623075,0.004978042
2019,0.022961943,-0.005071723,-0.001939262,-0.002756351,0.004909161
2019,0.026498407,-0.006170436,-0.00167942,-0.002791189,0.004933499
2019,0.02594117,-0.004483553,-0.001547461,-0.002833111,0.004934896
2019,0.017070051,-0.004134837,-0.001344344,-0.003424761,0.004926191
2019,0.018496681,-0.004126741,-0.001363445,-0.004123452,0.004927242
2019,0.020499622,-0.005251069,-0.00129049,-0.003787485,0.004924387
2019,0.01989784,-0.005118796,-0.001310391,-0.003999551,0.0049124
2019,0.018039459,-0.004090174,-0.001171125,-0.005145291,0.00490045
2019,0.024761368,-0.007063788,-0.001206016,-0.004486848,0.00496088
2019,0.027026803,-0.006291925,-0.00118195,-0.004463657,0.004405948
2019,0.03443998,-0.00566995,-0.001266089,-0.004479891,0.00474278
2019,0.032548003,-0.006358505,-0.000971376,-0.004470859,0.004948605
2019,0.032314836,-0.006800347,-0.000968198,-0.004426535,0.00470501
2019,0.031070694,-0.007903321,-0.00091741,-0.004353457,0.004715311
2019,0.034296895,-0.007870522,-0.000884886,-0.004410593,0.004703928
2019,0.044590164,-0.007857422,-0.000862901,-0.004482015,0.004562044
2019,0.052002183,-0.008055899,-0.000894539,-0.004504799,0.004512451
2019,0.048130527,-0.008126325,-0.000962875,-0.004481101,0.004248294
2019,0.045365068,-0.007514394,-0.000885497,-0.004479731,0.004512947
2019,0.040476373,-0.007729394,-0.000829853,-0.004485344,0.004463527
2019,0.037489422,-0.007965546,-0.000744553,-0.004489153,0.004670146
2019,0.047380582,-0.007843448,-0.000777366,-0.004499477,0.004869358
2019,0.058208368,-0.008185511,-0.000853875,-0.004482398,0.004078631
2019,0.069946914,-0.008006871,-0.001074557,-0.004474121,0.004354516
2019,0.069556086,-0.00835809,-0.001048425,-0.004418382,0.004698796
2019,0.070390796,-0.010062459,-0.001052878,-0.004362952,0.004934715
2019,0.065072514,-0.009368579,-0.001067334,-0.004414408,0.004779245
2019,0.067259641,-0.009350638,-0.001091424,-0.004445838,0.004789019
2019,0.073005104,-0.009588857,-0.000884317,-0.004464105,0.004887719
2019,0.073038091,-0.010586878,-0.000741013,-0.004494699,0.005543953
2019,0.079338058,-0.010247074,-0.001181905,-0.004492296,0.005364168
2019,0.079835508,-0.010350133,-0.001376797,-0.004488832,0.004919463
2019,0.077358803,-0.009420653,-0.001050486,-0.004495045,0.004945628
2019,0.080967754,-0.010928547,-0.000810405,-0.004495724,0.005092732
2019,0.077950436,-0.010359069,-0.000687583,-0.004493221,0.005008395
2019,0.069304915,-0.009538072,0.000116817,-0.004492054,0.005126649
2019,0.066904814,-0.009065512,0.000519737,-0.004506114,0.0058082
2019,0.071220486,-0.008144414,0.000603838,-0.004522911,0.005405453
2019,0.075552046,-0.008754064,0.000191844,-0.004486695,0.004989876
2019,0.072783852,-0.009653275,0.000461005,-0.004406122,0.005617086
2019,0.07753287,-0.008759396,0.000506523,-0.004427872,0.006102472
2019,0.079367975,-0.008880109,0.000370452,-0.00442418,0.005712114
2019,0.076258257,-0.008265125,0.000705025,-0.00451003,0.005806351
2019,0.074198381,-0.007395827,0.001180905,-0.004550037,0.005778741
2019,0.078140795,-0.008193708,0.000800976,-0.004426852,0.005394261
2019,0.075761557,-0.007684779,0.001041294,-0.004439877,0.005908398
2019,0.077045603,-0.008679402,0.000372086,-0.004431643,0.005980931
2019,0.077010736,-0.008550739,0.000304968,-0.004443092,0.006341153
2019,0.076683679,-0.00761365,0.000483652,-0.004552389,0.006338532
2019,0.072373743,-0.006425316,0.000860309,-0.004646234,0.006946739
2019,0.070154693,-0.005601078,0.001977903,-0.004828521,0.007078199
2019,0.068235612,-0.006016454,0.002343839,-0.004914791,0.007310622
2019,0.06359747,-0.005157421,0.002297559,-0.004898449,0.007061948
2019,0.054084881,-0.004278785,0.002734554,-0.005057696,0.007191526
2019,0.038240937,-0.002459478,0.004049734,-0.005147762,0.00783675
2019,0.015044448,-0.002392128,0.005746758,-0.005351796,0.008967717
2019,0.014850664,0.000277309,0.006467288,-0.005860819,0.009983372
2019,0.014863531,0.002715572,0.007263619,-0.006000552,0.010289419
2019,0.02394027,0.003135429,0.006782639,-0.00593626,0.009777279
2019,0.021577631,0.004418438,0.007073612,-0.005691817,0.009997337
2019,0.016597667,0.004067667,0.00632312,-0.00534702,0.010747674
2019,0.012519598,0.004676163,0.007041705,-0.005664928,0.011451933
2019,0.00918127,0.005628698,0.006939327,-0.005560882,0.011631923
2019,0.008509389,0.005617943,0.006803893,-0.005533843,0.01154626
2019,0.013954133,0.007366562,0.006539076,-0.005671919,0.01167438
2019,0.019760545,0.005310434,0.005671934,-0.005344588,0.011262083
2019,0.021635827,0.005572515,0.005697201,-0.005256443,0.011384085
2019,0.023984467,0.005442885,0.006250829,-0.005348045,0.011396554
2019,0.018300222,0.005204266,0.006437976,-0.005261891,0.011163309
2019,0.01677689,0.004873187,0.006148836,-0.005312557,0.01094562
2019,0.007010476,0.006287092,0.007145116,-0.005533791,0.011936663
2019,0.009961119,0.007374337,0.006965477,-0.005693009,0.012158429
2019,0.010646502,0.008321292,0.00710422,-0.005590812,0.0123259
2019,0.014491109,0.008929514,0.006867277,-0.005673388,0.012299922
2020,0.025525198,0.007415177,0.00591636,-0.005509364,0.01149586
